I_mean,FIPS
107.38,41031
None,42061
None,47165
86.5,20169
None,20041
None,46017
None,51079
None,29209
None,47123
None,51185
None,45003
85.75,36093
65,45031
66.58,22039
None,36077
None,51153
113.5,20027
103.5,20123
65.08,22097
68.4,45063
None,51077
None,21177
None,45025
None,21203
None,01041
105,20143
None,13313
133.29,16001
131.93,36005
131.93,36061
131.93,36079
131.93,36087
131.93,36119
None,37027
None,45055
None,18151
None,21011
None,45033
52.38,45085
None,20099
None,47149
144.5,47007
None,37109
148,47047
None,51007
None,20121
None,29229
99.13,01045
None,39019
None,46119
None,13133
None,12013
None,29151
None,51155
113.79,13009
113.79,13021
113.79,13035
113.79,13169
113.79,13247
113.79,13265
113.79,13283
113.79,13319
None,01097
182,29189
69.5,45013
69.5,45019
69.5,45053
None,01033
102,13271
108.08,26085
182.67,27153
72.3,45049
182,47041
None,13171
None,20207
98.5,22069
127.25,12121
None,13115
None,21061
97.67,27171
495.67,06041
None,21169
None,50003
None,50009
None,50013
149.5,20089
None,47163
None,45079
None,05119
None,13297
None,22047
None,20011
None,20087
None,27025
None,45089
159.86,31065
None,51147
None,27055
None,47005
None,51075
154.17,16073
117.83,13091
948.13,06097
137.5,16065
None,39043
75,01009
90.92,37011
None,51113
None,12047
None,34037
216.33,25015
None,29225
None,21139
64.5,37001
None,12023
None,18105
70.25,51041
70.25,51087
70.25,51145
None,37059
None,29091
None,47141
None,21051
116.88,05021
None,13175
None,17199
62,51081
None,29071
159,29113
None,42039
None,55029
None,55083
131.75,16051
None,13211
None,20111
54.5,13047
54.5,13083
54.5,13223
167.33,37039
167.33,37043
167.33,37075
167.33,37099
167.33,37111
167.33,37113
167.33,37121
167.33,37149
167.33,37173
167.33,37175
None,46053
None,22111
100.33,41029
None,47179
None,38051
None,21073
None,22105
None,20017
251.33,31183
149,13189
80,26019
80,26079
None,42057
None,01005
155,47177
None,17137
None,20045
None,45041
None,47187
None,46021
None,13199
None,13221
None,20107
None,21069
308,06099
None,29215
None,13293
99.5,01115
None,20091
None,21135
None,36075
None,39115
83.5,45061
48.71,51067
None,26129
None,36117
38.75,37081
147.25,47075
153,55109
None,22043
None,20003
None,51139
None,13157
None,20085
None,51173
None,01103
None,13217
None,51171
None,42081
None,47037
119.43,01079
None,29119
None,51063
111.83,22009
None,13147
None,47111
111.21,13073
111.21,13125
111.21,13245
226,06067
None,12073
None,39025
None,42131
None,18117
None,21157
None,27041
None,29051
154.6,38073
None,39141
None,40115
68.86,37063
None,13077
None,13119
None,47137
None,21171
225.14,55097
None,36021
None,28073
None,20127
None,13011
160,13303
None,28031
71.5,39105
215,21209
None,47115
None,36057
None,46065
None,20103
145.83,05017
None,50025
71.58,45009
108,01083
None,29015
None,39155
None,46107
None,29019
None,12131
None,47049
165.67,55135
None,46123
None,12039
None,47157
None,24001
45.64,37181
None,47023
159.33,20157
None,13219
None,21029
None,39007
None,26009
142,31015
None,47021
None,39053
71.5,13165
None,51137
None,01043
None,01095
147.33,27051
None,29186
None,55047
None,55081
212.5,47125
None,47035
None,51035
None,28109
None,28131
102,13015
None,29009
None,47017
107,13023
None,01065
164,55005
132,18115
117.29,22067
115,20029
None,21045
None,21103
None,47185
180.75,31041
None,51197
None,21113
191.86,27121
38.75,37135
124,05073
215.25,31089
None,29043
None,47031
None,36123
52.43,37183
282.83,25011
170.29,27141
None,01039
None,46129
None,13167
None,29219
None,38077
None,39001
None,13233
None,29059
177.14,31083
None,55063
None,21229
66.71,51013
66.71,51059
66.71,51179
None,01049
69.36,37145
237.38,31003
None,37003
None,12125
None,34035
None,36035
None,17153
None,21173
117,22073
None,36097
None,39067
None,39073
None,51033
264,17019
None,36107
90,01067
None,01019
154,13279
None,46069
156.67,47113
None,17145
54.5,37151
146,38045
123.6,13057
123.6,13059
123.6,13067
123.6,13085
123.6,13089
123.6,13111
123.6,13117
123.6,13121
123.6,13135
123.6,13187
123.6,13227
123.6,13281
123.6,13291
123.6,13311
125.29,12001
85.5,13107
None,13195
None,21085
260,21035
186.13,31073
79.5,51015
95.33,01099
None,20133
None,21003
None,37159
None,21111
118.83,13193
None,42129
185,47079
None,20117
None,27143
161.14,29201
196.13,31061
None,39031
88.25,45051
None,17077
None,01089
None,12059
None,05015
124.7,36029
60,30081
None,17087
179.33,25001
179.33,25007
179.33,25009
179.33,25013
179.33,25017
179.33,25019
179.33,25021
179.33,25025
104.25,22041
188,17017
None,29167
55.07,37185
None,01071
None,29001
118,16013
106.29,13163
None,17083
None,36109
None,13139
None,20037
207.88,31099
None,37005
None,36069
None,13137
None,37007
None,17061
None,51107
None,50023
150,47167
None,18055
None,29185
None,47077
202,29027
157.63,29207
None,24023
None,47051
None,21001
None,29011
None,37167
None,51099
None,17151
None,39079
None,21079
None,20021
None,36051
None,21093
None,36023
None,29139
147.83,13243
127,20209
None,39017
None,39029
177.83,17059
None,21049
188.14,27145
111.14,22107
None,34019
None,45035
None,26051
None,39099
None,51191
167,26057
None,18025
None,21207
None,20131
98.4,01003
None,29039
121.29,41039
None,13213
176.2,38021
None,18093
None,26133
61,01061
None,05143
None,29145
None,53049
None,13123
None,13269
None,45067
197,17123
None,29097
None,36083
None,29141
182.5,47131
None,36053
263,17011
None,29135
None,37037
None,55119
141.5,13109
150.43,16075
127.8,12075
225,55023
None,12033
None,47183
None,27099
None,50011
None,55103
None,29101
194.5,31047
None,21185
None,39131
None,47045
None,18047
None,26113
135.79,13025
135.79,13029
135.79,13039
135.79,13049
135.79,13051
135.79,13127
135.79,13179
135.79,13183
135.79,13191
None,12091
None,13013
None,17117
126.33,12005
126.33,12037
126.33,12045
126.33,12077
126.33,12129
None,21027
None,27155
176.8,27149
None,27053
None,29077
None,21179
None,17067
74,37097
None,39015
None,21087
None,29211
None,20005
None,21137
218,55121
None,29109
None,46015
None,21163
140,37089
81.33,49001
None,17129
None,18077
70.83,37171
None,21239
None,13129
None,42091
178.29,16027
95.75,34003
95.75,34013
95.75,34017
95.75,34027
95.75,34031
95.75,34039
72.5,01031
125.5,37017
76.07,45075
209.86,55137
None,37193
148.14,13251
None,17051
None,29129
None,42067
None,29217
146.5,12063
93.67,41011
58.67,36067
None,29173
None,29079
114,55073
None,18165
None,55141
None,18123
104.14,22123
None,29089
None,17081
143.25,26159
None,21053
232.5,31035
None,29057
None,17057
104.29,22083
None,18143
90.83,45027
130.5,29031
114.57,13033
None,41015
None,05007
189.88,31175
186,46109
182,27049
None,21199
None,12133
109,26123
133.67,37131
None,39093
None,42027
210,31019
207.14,31095
None,55123
154.33,13267
151.6,38081
None,29121
204.25,31077
None,36033
None,29021
None,29163
None,50007
None,17169
None,21161
None,29025
None,39165
207.38,31169
None,37103
180.13,41035
None,46049
275,55053
165.33,55033
None,27085
None,29165
None,46089
None,29045
115,29037
196.6,53011
None,29083
71.63,53041
None,13153
127.5,01069
None,29053
200,27165
None,12065
236,20013
114.5,12041
None,26111
160,29107
204.67,47147
144.75,13315
None,29199
235.14,26149
None,21221
243.43,31107
226.43,16047
184,31181
None,26107
72.75,37105
None,39127
None,13209
177.17,13253
296.25,12099
160,47097
None,29117
170.25,36071
None,29081
133,47053
319.57,53067
None,01053
152.33,29007
180.86,16063
215,31001
152.71,53009
152.71,53029
152.71,53031
152.71,53035
152.71,53045
152.71,53055
